,firm,tv,radio,newpaper,magazine
0,회사명,TV,라디오,신문,잡지
1,삼성전자,11668720,242469,7356007,391700
2,LG전자,13776012,322223,2679913,155700
3,KT,4768380,265896,1544589,22500
4,현대자동차,2837608,359010,1861762,119500
5,한국인삼공사,3873921,298050,518108,170500
6,동국제약,3645253,177266,684551,97700
7,(주)하나은행,1726855,0,2489302,27500
8,SK텔레콤,2172219,17448,1698839,4500
9,바디프랜드,1863301,0,1551836,271900
10,SK브로드밴드,2916206,130554,548642,0
11,아모레퍼시픽,1241563,84986,1728625,423550
12,네이버,3371399,0,0,4000
13,롯데쇼핑,1390243,0,1498875,57000
14,한국코카콜라,2738616,125965,0,0
15,기아자동차,1220790,459717,1112937,55000
16,SK하이닉스,0,0,2839812,8000
17,명인제약,2154342,7424,465765,0
18,롯데하이마트,2161762,63767,363046,12800
19,삼성생명보험,2354216,96091,140669,5000
20,삼성화재,2335759,102858,124770,10500
21,동서식품,2249137,0,172293,131100
22,두산,1528343,0,1000402,21000
23,대한항공,2269878,112264,23152,38900
24,롯데케미칼,0,0,2336148,79800
25,LGU플러스,1909850,138550,290940,16000
26,동원F&B,2099628,175028,0,9500
27,한화공동,2246581,0,137,1800
28,다이슨코리아,1624505,0,579630,5000
29,AIA생명보험,706054,0,1435755,1500
30,강원도청,1307900,0,804430,0
31,대웅제약,1543756,76807,469152,15000
32,한국피앤지,2028587,64356,0,5000
33,오뚜기,1489819,0,507317,14300
34,이마트,92211,0,1819290,6000
35,국민은행,542300,0,1291612,20250
36,에쓰오일,1244735,64288,497984,2000
37,KB손해보험,1416286,146131,237296,3500
38,AXA다이렉트,1697391,79745,0,0
39,애경산업,1760835,0,0,16000
40,FRL코리아,1753311,0,0,0
41,KB국민카드,1187351,0,486621,75650
42,르노삼성자동차,826779,161974,644931,93810
43,현대모비스,1188322,0,477500,58400
44,신한금융지주회사,0,0,1621772,73500
45,SK이노베이션,0,0,1686465,1800
46,경기도청,1218250,0,420562,4000
47,메르세데스벤츠코리아,1143979,0,298731,191800
48,시몬스,1417248,0,0,192000
49,한국다케다제약,1608430,0,0,0
50,유한양행,870723,80696,630612,17000
51,샤넬코리아,1263492,0,0,318000
52,신한은행,0,0,1517000,34500
53,농협중앙회,625793,0,821715,46800
54,광동제약,1077291,137161,268321,10000
55,사노피아벤티스코리아,1466616,0,0,18800
56,보건복지부,1449800,0,25804,0
57,풍산화동양행,0,0,1431451,35000
58,현대해상화재보험,1180422,81992,146937,38000
59,교원,1430263,0,0,0
60,농심,1386957,7620,170,4500
61,기업은행,0,0,1304810,62750
62,재규어랜드로버코리아,916793,107710,215328,97400
63,국민건강보험공단,1040600,0,291278,0
64,서울특별시,0,0,1299860,9500
65,LG,0,19681,1249417,27300
66,CJ제일제당,0,0,1238894,54500
67,에이스침대,1126383,71073,0,83000
68,다인건설,365200,81460,828268,0
69,롯데관광개발,0,0,1235174,0
70,현대캐피탈,1096155,135920,1287,0
71,남양유업,1189390,38476,0,0
72,일동제약,0,95632,1125703,6500
73,신한카드,422208,0,784770,10000
74,메디톡스,1116261,100186,0,0
75,KCC건설,1213226,0,0,0
76,한국메나리니,1171594,36745,0,0
77,동아제약,831520,191652,154259,28000
78,우리은행,0,0,1177727,19000
79,한국토지주택공사,0,0,1191208,4500
80,셀트리온,1192933,0,0,0
81,쿠쿠전자,1141118,29366,0,0
82,하나뿐인생명9988,0,0,1154535,0
83,KB금융지주,0,0,1117246,24100
84,롯데칠성음료주류BG,754986,0,334952,30600
85,한국화이자제약(주),1103309,0,0,4500
86,현대자동차그룹,0,0,1098289,8900
87,리치몬드코리아*,0,0,161332,944700
88,현대백화점,1144,114806,969349,9000
89,LG생활건강,269800,111489,87280,591100
90,명보INC,0,0,516335,530150
91,한국전기안전공사,894300,0,144671,2000
92,인코미디어넷,1028240,0,0,0
93,LG하우시스,939652,0,78800,6000
94,이케아코리아,993609,0,0,0
95,한돈자조금관리위원회,982703,0,0,10000
96,기상청,986150,0,3240,0
97,롯데칠성음료,587590,29358,357038,14000
98,맥도날드,862921,101753,0,0
99,한국주택금융공사,671000,0,275128,0
100,GS건설,0,0,926735,17800
